,Unnamed: 0,commonstocksharesissued,assetscurrent,accountspayablecurrent,commonstockvalue,liabilities,liabilitiesandstockholdersequity,stockholdersequity,earningspersharebasic,netincomeloss,profitloss,costofgoodssold,filing_date,costsandexpenses,cash,notespayable,preferredstockvalue,depreciation,operatingexpenses,revenues,land,accountsreceivablenet,deferredrevenue,grossprofit,sharesissued,accruedincometaxes,sharesoutstanding,borrowedfunds,inventorygross,commercialpaper,dividends,commonstocknoparvalue,costofservices,debtcurrent,accruedinsurancecurrent,officerscompensation,intangibleassetscurrent,salariesandwages,interestanddebtexpense,convertibledebt,assetmanagementcosts,accountsreceivablegross,directoperatingcosts,operatingcycle,stock,price
28,28,1000.0,10241000000.0,1307000000.0,342000000.0,,26780000000.0,-7987000000.0,0.5,-2139000000.0,,,2013-10-17,18137000000.0,480000000.0,224000000.0,3329000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,AAL,21.0
29,29,1000.0,9635000000.0,1507000000.0,341000000.0,,26216000000.0,-7987000000.0,-5.67,-241000000.0,,,2013-07-18,5960000000.0,480000000.0,224000000.0,3329000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,AAL,18.42
30,30,1000.0,7525000000.0,1440000000.0,341000000.0,,23852000000.0,-7987000000.0,-1.02,-1660000000.0,,,2013-04-18,6126000000.0,480000000.0,224000000.0,3329000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,AAL,16.1
31,31,341232637.0,6757000000.0,1244000000.0,341000000.0,,23510000000.0,339000000.0,-0.85,-1095000000.0,,,2013-02-20,21862000000.0,480000000.0,224000000.0,3329000000.0,954000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,AAL,13.33
66,66,2343213.0,47470000.0,,24000.0,344825000.0,105815000.0,3521000.0,-1.09,-2557000.0,-46000.0,,2013-10-22,,,,248824000.0,285000.0,8602000.0,19585000.0,478000.0,,,,,,,,,,,,,,,,,,,,,,,,AAMC,
67,67,2343213.0,47470000.0,,23000.0,3347000.0,105815000.0,3927000.0,-0.64,-2339000.0,-46000.0,,2013-07-23,,,,248824000.0,285000.0,8688000.0,10399000.0,478000.0,,,,,,,,,,,,,,,,,,,,,,,,AAMC,
68,68,2343213.0,47470000.0,,23000.0,14968000.0,118239000.0,4970000.0,-0.36,-886000.0,-46000.0,,2013-05-09,,,,248824000.0,285000.0,3474000.0,1515000.0,478000.0,,,,,,,,,,,,,,,,,,,,,,,,AAMC,
95,95,22400894.0,,,22401000.0,220665000.0,317695000.0,106436000.0,0.05,1084000.0,,,2013-11-13,,,,65000.0,,,10482000.0,,,,,,,,,,,,,,,,,,,,,,,,,AAME,
96,96,22400894.0,,,22401000.0,214441000.0,320177000.0,-649000.0,0.03,1084000.0,,,2013-08-13,,,,70000.0,,,209000.0,,,,,,,,,,,,,,,,,,,,,,,,,AAME,
97,97,22400894.0,,,22401000.0,214441000.0,320177000.0,95918000.0,0.07,1084000.0,,,2013-05-14,,,,70000.0,,,206000.0,,,,,,,,,,,,,,,,,,,,,,,,,AAME,
98,98,22400894.0,,,22401000.0,48523000.0,144800000.0,96277000.0,0.13,3290000.0,,,2013-03-27,,,,70000.0,,,12101000.0,,,,,,,,,,,,,,,,,,,,,,,,,AAME,
128,128,90752123.0,,,45376000.0,676803000.0,1812929000.0,1136126000.0,1.29,28941000.0,,,2013-11-01,509260000.0,,,,53100000.0,764135000.0,,25285000.0,49102000.0,3800000.0,282276000.0,,,,,,,,,,,,,,,,,,,,,AAN,
129,129,90752123000.0,,,45376000.0,676803000.0,1812929000.0,1136126000.0,1.42,76854000.0,,,2013-08-02,479259000.0,,,,53100000.0,251924000.0,,25285000.0,49102000.0,3800000.0,282276000.0,,,,,,,,,,,,,,,,,,,,,AAN,
130,130,90752123.0,,,45376000.0,676803000.0,1812929000.0,1136126000.0,0.94,71226000.0,,,2013-05-03,470177000.0,,,,53100000.0,234910000.0,,25285000.0,7840000.0,3800000.0,282276000.0,,,,,,,,,,,,,,,,,,,,,AAN,
131,131,90752123.0,,,45376000.0,676803000.0,1812929000.0,-69000.0,0.48,36632000.0,,,2013-02-22,1942882000.0,,,,53100000.0,952262000.0,,25285000.0,7840000.0,3800000.0,263278000.0,,,,,,,,,,,,,,,,,,,,,AAN,
164,164,266000.0,39246000.0,6913000.0,1074000.0,34740000.0,65748000.0,31008000.0,-3.76,-997000.0,-997000.0,31074000.0,2013-11-14,,,,,900000.0,13638000.0,4600000.0,733000.0,,,13485000.0,,4113000.0,12644000.0,398000.0,,,,,,,,,,,,,,,,,AAOI,
187,187,36709890.0,109121000.0,13047000.0,147000.0,,220138000.0,,0.16,19871000.0,,59667000.0,2013-11-07,,,,,9349000.0,,,1353000.0,,1006000.0,69604000.0,,,36777000.0,,34187000.0,,,,,,,,,,,,,,,,AAON,
188,188,36754988.0,91546000.0,13047000.0,147000.0,,221214000.0,,0.33,19259000.0,,63565000.0,2013-08-08,,,,,6747000.0,,,1340000.0,,1006000.0,42988000.0,,,36755000.0,,34668000.0,,,,,,,,,,,,,,,,AAON,
189,189,24517749.0,91546000.0,13047000.0,98000.0,,193493000.0,,0.19,7140000.0,,51439000.0,2013-05-09,,,,,3394000.0,,,1340000.0,,1006000.0,13518000.0,,,24510000.0,,32977000.0,,,,,,,,,,,,,,,,AAON,
